INFO  - 2015-12-11 05:26:30.775; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.775; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.775; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-12-11 05:26:30.791; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-12-11 05:26:30.793; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-12-11 05:26:30.793; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-12-11 05:26:30.794; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-12-11 05:26:30.795; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-12-11 05:26:30.805; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-12-11 05:26:30.805; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-12-11 05:26:30.812; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-12-11 05:26:30.812; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-12-11 05:26:30.817; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2a086af[collection1] main
INFO  - 2015-12-11 05:26:30.821; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf
INFO  - 2015-12-11 05:26:30.821; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2015-12-11 05:26:30.822; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf
INFO  - 2015-12-11 05:26:30.825; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf
INFO  - 2015-12-11 05:26:30.825; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-12-11 05:26:30.826; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-12-11 05:26:30.826; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf
